NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,ACERTOS_MT,ACERTOS_CN,ACERTOS_CH,ACERTOS_LC
589.0,593.8,623.7,599.9,14,22,29,8
589.4,518.0,588.0,539.6,14,11,28,8
591.0,490.6,444.1,543.6,13,12,10,14
592.1,526.5,465.9,442.8,12,16,13,6
592.6,590.8,608.0,599.2,16,22,29,11
592.6,416.8,438.5,431.9,14,7,13,11
592.7,512.5,566.4,556.2,13,14,23,13
593.8,425.0,539.2,509.9,15,9,22,11
595.0,469.0,486.9,574.2,16,10,13,19
595.5,487.1,478.2,434.3,15,12,16,11
595.5,455.4,580.1,568.0,12,11,27,13
596.9,449.6,429.5,477.4,14,13,12,9
596.9,495.8,407.2,525.0,14,11,10,10
598.2,649.5,635.9,575.0,14,29,33,13
598.3,509.4,477.4,520.6,14,12,15,12
599.3,509.9,586.3,571.6,12,12,27,13
601.2,569.9,593.1,613.9,13,16,28,15
601.4,468.9,534.8,517.8,16,12,22,5
603.3,554.3,515.6,552.6,14,16,16,13
603.4,503.7,554.1,563.8,13,9,20,12
604.2,542.4,534.8,523.6,17,17,21,11
604.5,485.6,588.0,518.0,14,12,26,12
604.6,532.7,517.9,551.0,15,15,18,9
604.8,579.3,593.2,493.5,16,17,28,11
604.8,619.6,617.7,646.4,11,22,28,10
605.1,536.4,551.8,546.4,16,16,22,8
606.0,489.3,585.5,617.3,16,11,27,8
607.0,556.7,584.2,566.5,16,18,25,9
608.2,529.3,580.2,573.0,15,15,25,12
608.5,494.3,543.5,558.6,17,13,20,12
610.2,429.7,422.3,489.8,17,11,11,7
613.1,480.0,499.9,438.5,18,12,18,10
613.3,443.7,581.1,580.2,15,8,26,5
613.7,468.1,574.2,557.6,16,8,26,12
614.2,475.2,540.9,525.3,12,14,18,14
614.7,514.5,565.1,547.4,15,13,22,11
614.7,511.8,527.2,495.7,18,14,21,10
614.9,523.3,332.6,555.0,13,12,3,12
614.9,530.1,618.0,576.6,12,11,31,10
617.7,576.3,521.7,547.2,18,18,19,13
618.0,545.7,567.8,513.1,16,16,25,10
618.9,599.5,593.9,575.2,13,21,29,14
619.4,533.5,487.1,506.8,13,15,17,7
619.5,516.9,499.8,529.6,19,13,15,6
620.8,507.9,536.1,541.9,15,12,21,13
620.9,519.9,590.8,553.9,16,17,24,7
621.0,572.1,588.7,502.0,16,16,25,17
621.4,487.1,497.6,577.5,12,10,14,10
621.8,550.6,548.1,529.7,17,14,22,9
622.5,386.2,563.8,585.4,14,5,24,10
623.4,516.4,530.3,553.0,15,17,19,10
625.3,558.3,612.7,606.2,17,16,32,15
627.4,396.2,555.8,548.3,18,9,23,12
627.7,523.2,576.7,446.4,15,13,24,12
628.7,466.7,536.5,579.6,19,9,20,14
631.2,442.0,521.7,544.2,17,11,18,12
631.6,618.5,594.8,580.5,17,21,26,12
632.1,525.5,561.9,548.6,17,14,23,12
633.1,498.2,480.7,508.9,18,10,18,12
633.9,452.4,489.8,544.8,15,10,18,9
635.0,383.4,595.1,563.1,15,8,28,12
635.4,448.4,524.0,504.6,15,13,18,3
635.5,436.9,451.5,461.0,16,10,10,4
636.5,539.8,505.8,554.2,15,13,15,11
637.1,528.7,634.3,576.9,17,13,33,13
637.3,519.5,461.3,522.1,19,13,13,4
637.8,543.9,554.2,586.3,16,15,20,13
638.0,577.7,563.8,583.9,16,20,24,13
638.6,553.6,565.0,545.9,16,16,22,14
638.9,483.9,453.1,506.7,18,12,15,5
639.1,369.1,300.6,531.3,19,5,9,7
639.5,568.2,597.1,592.3,14,18,28,11
639.8,389.2,616.8,526.6,18,7,30,14
640.4,563.7,568.1,500.0,19,18,24,10
640.9,516.5,546.6,506.7,17,14,22,12
641.0,468.9,528.3,560.9,18,8,17,8
641.2,630.8,731.9,664.0,20,25,41,14
641.4,568.7,564.0,591.8,15,19,23,12
641.6,510.8,594.2,562.5,17,12,29,14
642.0,560.1,560.3,590.3,16,19,23,11
643.6,625.0,670.1,644.3,18,23,36,14
644.8,556.2,576.1,594.7,20,16,25,10
645.1,560.7,629.9,571.6,16,19,30,9
645.5,502.6,586.3,529.3,20,11,26,11
645.6,545.9,624.8,585.5,20,16,32,11
645.8,477.1,515.2,536.6,18,11,16,9
645.9,523.2,577.7,570.9,17,17,25,15
646.0,512.0,526.0,523.4,18,11,19,14
646.1,580.5,531.9,549.6,19,21,21,7
646.1,464.7,590.3,584.0,18,9,30,14
646.1,392.7,385.1,419.7,20,10,10,8
646.4,511.9,576.5,535.6,18,11,27,8
646.6,573.8,628.8,567.1,18,15,31,10
647.0,540.7,573.8,522.6,18,15,24,12
648.1,611.0,537.5,509.4,17,23,21,12
648.7,534.0,355.3,516.0,18,14,8,13
648.9,604.2,608.0,569.0,18,18,27,5
649.8,521.0,537.8,526.6,19,13,21,15
650.1,507.7,570.6,502.6,18,14,24,7
651.0,573.7,564.4,578.6,18,15,23,13
652.7,570.0,591.8,637.7,19,18,25,15
653.2,574.4,614.6,501.1,21,16,30,8
653.2,593.5,656.5,605.9,17,21,35,10
654.5,433.2,411.0,563.5,17,11,11,11
655.1,564.0,605.1,612.0,17,18,29,15
656.4,484.0,412.2,548.7,17,11,7,9
656.7,473.7,558.8,576.2,19,14,23,12
656.8,565.8,421.0,580.7,19,18,9,16
656.9,546.7,572.9,568.4,20,17,25,10
657.4,564.5,616.4,573.5,19,17,29,14
657.9,474.9,572.9,551.0,19,12,23,16
658.2,559.7,551.9,565.8,20,17,22,11
659.7,458.0,435.4,547.9,20,10,11,8
660.1,622.0,578.2,636.5,18,23,25,11
660.3,582.7,607.6,600.5,17,19,30,14
660.5,566.1,601.5,562.5,19,17,27,8
660.9,533.6,597.9,505.3,18,13,28,15
661.3,403.0,578.0,535.1,16,8,25,10
661.9,639.1,651.0,593.1,21,26,33,13
664.5,598.2,592.8,616.6,16,24,26,11
664.9,570.1,594.3,556.3,20,20,29,10
667.3,520.1,560.8,582.0,21,17,24,14
667.6,507.5,573.6,573.6,19,13,23,16
667.6,482.6,620.9,566.8,20,13,30,10
668.0,583.3,606.7,564.1,17,20,29,9
673.5,476.9,585.6,607.7,23,10,24,9
674.7,541.2,596.8,600.0,21,12,27,11
676.8,463.4,562.9,480.7,20,8,25,5
677.5,587.9,595.8,594.8,22,21,29,12
677.8,582.2,587.6,617.1,20,20,25,13
678.0,562.4,554.5,534.3,19,19,21,12
679.6,522.1,658.2,566.9,21,12,35,10
679.8,571.9,506.5,540.5,24,18,16,10
680.6,512.2,458.1,577.9,19,15,14,13
681.4,583.5,559.4,601.5,20,19,23,12
681.7,629.6,573.3,603.4,20,24,24,15
681.9,545.1,557.4,523.6,20,16,22,15
682.0,593.0,603.1,622.4,21,20,28,8
682.8,488.3,552.8,549.4,19,13,24,14
684.0,577.7,581.1,576.8,22,20,25,12
684.8,585.1,595.9,545.7,20,20,28,16
685.0,632.1,576.1,552.0,21,25,27,8
686.1,616.6,658.1,640.3,19,22,35,14
687.3,560.9,564.1,550.7,19,16,25,10
687.9,664.5,652.2,658.4,21,27,33,15
689.3,628.7,707.1,635.2,19,21,39,11
690.3,642.7,594.4,565.6,22,26,29,10
691.6,500.5,573.9,621.9,22,13,24,13
691.7,531.9,563.5,585.2,24,15,23,12
695.0,625.0,721.4,633.1,22,24,39,12
695.7,554.3,593.4,600.7,24,15,27,13
695.7,562.9,622.1,546.3,22,17,29,13
698.3,617.0,529.7,523.8,21,21,20,11
698.9,572.2,613.5,599.5,23,16,31,9
699.7,552.6,596.3,588.0,23,16,27,11
